point,apdex
2024-04-15 23:32:00,315.668
2024-04-15 23:33:00,314.742
2024-04-15 23:34:00,316.616
2024-04-15 23:35:00,315.557
2024-04-15 23:36:00,307.997
2024-04-15 23:37:00,314.948
2024-04-15 23:38:00,316.215
2024-04-15 23:39:00,319.438
2024-04-15 23:40:00,313.059
2024-04-15 23:41:00,306.648
2024-04-15 23:42:00,314.019
2024-04-15 23:43:00,317.312
2024-04-15 23:44:00,321.594
2024-04-15 23:45:00,310.475
2024-04-15 23:46:00,317.933
2024-04-15 23:47:00,319.061
2024-04-15 23:48:00,314.909
2024-04-15 23:49:00,318.814
2024-04-15 23:50:00,320.37
2024-04-15 23:51:00,306.444
2024-04-15 23:52:00,302.973
2024-04-15 23:53:00,303.145
2024-04-15 23:54:00,312.592
2024-04-15 23:55:00,320.186
2024-04-15 23:56:00,320.091
2024-04-15 23:57:00,308.949
2024-04-15 23:58:00,303.269
2024-04-15 23:59:00,323.0
2024-04-16 00:00:00,331.072
2024-04-16 00:01:00,321.426
2024-04-16 00:02:00,315.893
2024-04-16 00:03:00,321.764
2024-04-16 00:04:00,315.812
2024-04-16 00:05:00,317.854
2024-04-16 00:06:00,319.85
2024-04-16 00:07:00,316.934
2024-04-16 00:08:00,315.784
2024-04-16 00:09:00,313.367
2024-04-16 00:10:00,318.061
2024-04-16 00:11:00,320.743
2024-04-16 00:12:00,316.364
2024-04-16 00:13:00,315.611
2024-04-16 00:14:00,321.518
2024-04-16 00:15:00,321.115
2024-04-16 00:16:00,309.179
2024-04-16 00:17:00,303.349
2024-04-16 00:18:00,303.271
2024-04-16 00:19:00,301.176
2024-04-16 00:20:00,318.237
2024-04-16 00:21:00,320.971
2024-04-16 00:22:00,306.558
2024-04-16 00:23:00,304.934
2024-04-16 00:24:00,318.488
2024-04-16 00:25:00,320.01
2024-04-16 00:26:00,308.758
2024-04-16 00:27:00,303.837
2024-04-16 00:28:00,303.084
2024-04-16 00:29:00,307.465
2024-04-16 00:30:00,308.24
2024-04-16 00:31:00,313.606
2024-04-16 00:32:00,315.907
2024-04-16 00:33:00,309.573
2024-04-16 00:34:00,307.021
2024-04-16 00:35:00,313.164
2024-04-16 00:36:00,318.968
2024-04-16 00:37:00,311.074
2024-04-16 00:38:00,314.957
2024-04-16 00:39:00,318.633
2024-04-16 00:40:00,308.746
2024-04-16 00:41:00,307.269
2024-04-16 00:42:00,309.178
2024-04-16 00:43:00,314.639
2024-04-16 00:44:00,312.801
2024-04-16 00:45:00,309.078
2024-04-16 00:46:00,308.847
2024-04-16 00:47:00,304.797
2024-04-16 00:48:00,302.976
2024-04-16 00:49:00,307.158
2024-04-16 00:50:00,307.437
2024-04-16 00:51:00,307.623
2024-04-16 00:52:00,303.79
2024-04-16 00:53:00,309.552
2024-04-16 00:54:00,319.472
2024-04-16 00:55:00,313.425
2024-04-16 00:56:00,317.734
2024-04-16 00:57:00,315.14
2024-04-16 00:58:00,316.532
2024-04-16 00:59:00,320.67
2024-04-16 01:00:00,306.5
2024-04-16 01:01:00,301.342
2024-04-16 01:02:00,297.029
2024-04-16 01:03:00,302.988
2024-04-16 01:04:00,307.383
2024-04-16 01:05:00,313.343
2024-04-16 01:06:00,319.302
2024-04-16 01:07:00,309.314
2024-04-16 01:08:00,303.058
2024-04-16 01:09:00,313.013
2024-04-16 01:10:00,312.303
2024-04-16 01:11:00,318.578
2024-04-16 01:12:00,309.665
2024-04-16 01:13:00,297.139
2024-04-16 01:14:00,301.709
2024-04-16 01:15:00,307.815
2024-04-16 01:16:00,307.12
2024-04-16 01:17:00,295.161
2024-04-16 01:18:00,291.505
2024-04-16 01:19:00,304.519
2024-04-16 01:20:00,304.823
2024-04-16 01:21:00,305.722
2024-04-16 01:22:00,304.591
2024-04-16 01:23:00,303.196
2024-04-16 01:24:00,306.759
2024-04-16 01:25:00,313.076
2024-04-16 01:26:00,316.708
2024-04-16 01:27:00,311.132
2024-04-16 01:28:00,305.368
2024-04-16 01:29:00,307.984
2024-04-16 01:30:00,307.018
2024-04-16 01:31:00,306.717
2024-04-16 01:32:00,303.328
2024-04-16 01:33:00,303.217
2024-04-16 01:34:00,301.353
2024-04-16 01:35:00,307.329
2024-04-16 01:36:00,315.132
2024-04-16 01:37:00,317.391
