point,web_response
2024-04-15 23:32:00,2728817.066
2024-04-15 23:33:00,2699817.664
2024-04-15 23:34:00,2705551.779
2024-04-15 23:35:00,2717451.574
2024-04-15 23:36:00,2739286.384
2024-04-15 23:37:00,2705396.902
2024-04-15 23:38:00,2682631.157
2024-04-15 23:39:00,2683958.385
2024-04-15 23:40:00,2714915.695
2024-04-15 23:41:00,2748842.779
2024-04-15 23:42:00,2728222.801
2024-04-15 23:43:00,2679509.391
2024-04-15 23:44:00,2678078.65
2024-04-15 23:45:00,2733411.08
2024-04-15 23:46:00,2738746.591
2024-04-15 23:47:00,2695259.272
2024-04-15 23:48:00,2660711.608
2024-04-15 23:49:00,2657119.913
2024-04-15 23:50:00,2669922.855
2024-04-15 23:51:00,2707954.116
2024-04-15 23:52:00,2732584.999
2024-04-15 23:53:00,2734239.387
2024-04-15 23:54:00,2738549.205
2024-04-15 23:55:00,2685965.847
2024-04-15 23:56:00,2653400.56
2024-04-15 23:57:00,2695913.177
2024-04-15 23:58:00,2738001.84
2024-04-15 23:59:00,2732474.634
2024-04-16 00:00:00,2944333.128
2024-04-16 00:01:00,2805041.842
2024-04-16 00:02:00,2696296.57
2024-04-16 00:03:00,2695014.222
2024-04-16 00:04:00,2694889.214
2024-04-16 00:05:00,2712016.798
2024-04-16 00:06:00,2703950.849
2024-04-16 00:07:00,2701652.476
2024-04-16 00:08:00,2677499.336
2024-04-16 00:09:00,2740849.436
2024-04-16 00:10:00,2755919.356
2024-04-16 00:11:00,2675809.742
2024-04-16 00:12:00,2659368.492
2024-04-16 00:13:00,2680949.817
2024-04-16 00:14:00,2704968.579
2024-04-16 00:15:00,2707013.691
2024-04-16 00:16:00,2719034.828
2024-04-16 00:17:00,2735989.596
2024-04-16 00:18:00,2733367.327
2024-04-16 00:19:00,2733252.154
2024-04-16 00:20:00,2706720.623
2024-04-16 00:21:00,2688911.205
2024-04-16 00:22:00,2688080.177
2024-04-16 00:23:00,2714983.672
2024-04-16 00:24:00,2706435.922
2024-04-16 00:25:00,2696082.874
2024-04-16 00:26:00,2733281.693
2024-04-16 00:27:00,2741339.501
2024-04-16 00:28:00,2740208.031
2024-04-16 00:29:00,2747108.984
2024-04-16 00:30:00,2740801.827
2024-04-16 00:31:00,2731599.983
2024-04-16 00:32:00,2679656.937
2024-04-16 00:33:00,2684444.489
2024-04-16 00:34:00,2754301.007
2024-04-16 00:35:00,2749062.913
2024-04-16 00:36:00,2682556.873
2024-04-16 00:37:00,2674907.694
2024-04-16 00:38:00,2683575.884
2024-04-16 00:39:00,2680633.929
2024-04-16 00:40:00,2707197.82
2024-04-16 00:41:00,2730283.505
2024-04-16 00:42:00,2725951.362
2024-04-16 00:43:00,2741630.826
2024-04-16 00:44:00,2755625.31
2024-04-16 00:45:00,2716551.568
2024-04-16 00:46:00,2683824.592
2024-04-16 00:47:00,2712885.906
2024-04-16 00:48:00,2729724.181
2024-04-16 00:49:00,2726126.565
2024-04-16 00:50:00,2729018.969
2024-04-16 00:51:00,2724178.511
2024-04-16 00:52:00,2723907.397
2024-04-16 00:53:00,2728556.708
2024-04-16 00:54:00,2688005.957
2024-04-16 00:55:00,2692212.172
2024-04-16 00:56:00,2704271.076
2024-04-16 00:57:00,2683018.992
2024-04-16 00:58:00,2676066.292
2024-04-16 00:59:00,2673347.692
2024-04-16 01:00:00,2707599.556
2024-04-16 01:01:00,2728114.056
2024-04-16 01:02:00,2725641.233
2024-04-16 01:03:00,2718566.837
2024-04-16 01:04:00,2715110.302
2024-04-16 01:05:00,2717959.012
2024-04-16 01:06:00,2682412.085
2024-04-16 01:07:00,2689915.027
2024-04-16 01:08:00,2736652.032
2024-04-16 01:09:00,2743636.14
2024-04-16 01:10:00,2732780.372
2024-04-16 01:11:00,2686275.097
2024-04-16 01:12:00,2684372.945
2024-04-16 01:13:00,2719016.452
2024-04-16 01:14:00,2726146.156
2024-04-16 01:15:00,2747976.532
2024-04-16 01:16:00,2745748.116
2024-04-16 01:17:00,2727759.313
2024-04-16 01:18:00,2720369.404
2024-04-16 01:19:00,2712400.097
2024-04-16 01:20:00,2722149.637
2024-04-16 01:21:00,2724865.51
2024-04-16 01:22:00,2718839.719
2024-04-16 01:23:00,2716336.381
2024-04-16 01:24:00,2720741.376
2024-04-16 01:25:00,2728263.629
2024-04-16 01:26:00,2679511.748
2024-04-16 01:27:00,2660485.995
2024-04-16 01:28:00,2700740.571
2024-04-16 01:29:00,2728403.941
2024-04-16 01:30:00,2726500.296
2024-04-16 01:31:00,2723249.842
2024-04-16 01:32:00,2724524.083
2024-04-16 01:33:00,2727636.701
2024-04-16 01:34:00,2725847.942
2024-04-16 01:35:00,2724011.502
2024-04-16 01:36:00,2724322.411
2024-04-16 01:37:00,2708594.259
2024-04-16 01:38:00,2707229.727
2024-04-16 01:39:00,2719293.809
2024-04-16 01:40:00,2738021.504
2024-04-16 01:41:00,2738617.187
2024-04-16 01:42:00,2717926.284
2024-04-16 01:43:00,2719346.345
2024-04-16 01:44:00,2689426.861
2024-04-16 01:45:00,2677922.397
2024-04-16 01:46:00,2700511.493
2024-04-16 01:47:00,2725353.508
2024-04-16 01:48:00,2753232.596
2024-04-16 01:49:00,2727056.574
2024-04-16 01:50:00,2699606.739
2024-04-16 01:51:00,2720634.868
2024-04-16 01:52:00,2717147.687
2024-04-16 01:53:00,2715281.837
2024-04-16 01:54:00,2726216.972
2024-04-16 01:55:00,2725993.734
2024-04-16 01:56:00,2718140.848
2024-04-16 01:57:00,2721500.085
2024-04-16 01:58:00,2737180.226
2024-04-16 01:59:00,2741394.531
2024-04-16 02:00:00,2727414.113
2024-04-16 02:01:00,2723108.193
2024-04-16 02:02:00,2718360.665
2024-04-16 02:03:00,2715785.119
2024-04-16 02:04:00,2721945.015
2024-04-16 02:05:00,2720821.988
2024-04-16 02:06:00,2674948.687
2024-04-16 02:07:00,2686909.356
2024-04-16 02:08:00,2729711.989
2024-04-16 02:09:00,2732308.599
2024-04-16 02:10:00,2706347.831
2024-04-16 02:11:00,2681413.748
2024-04-16 02:12:00,2698162.102
2024-04-16 02:13:00,2690965.825
2024-04-16 02:14:00,2679974.698
2024-04-16 02:15:00,2703775.23
2024-04-16 02:16:00,2722326.285
2024-04-16 02:17:00,2717957.797
2024-04-16 02:18:00,2714298.183
2024-04-16 02:19:00,2715081.777
2024-04-16 02:20:00,2696825.484
2024-04-16 02:21:00,2692664.096
2024-04-16 02:22:00,2710762.535
2024-04-16 02:23:00,2712191.348
2024-04-16 02:24:00,2714421.553
2024-04-16 02:25:00,2711664.955
2024-04-16 02:26:00,2709025.41
2024-04-16 02:27:00,2707027.71
2024-04-16 02:28:00,2708342.175
2024-04-16 02:29:00,2715444.195
2024-04-16 02:30:00,2716705.31
2024-04-16 02:31:00,2714051.294
2024-04-16 02:32:00,2674358.901
2024-04-16 02:33:00,2676517.709
2024-04-16 02:34:00,2714781.469
2024-04-16 02:35:00,2719871.222
2024-04-16 02:36:00,2720480.231
2024-04-16 02:37:00,2709613.851
2024-04-16 02:38:00,2712588.243
2024-04-16 02:39:00,2715278.43
2024-04-16 02:40:00,2712214.571
2024-04-16 02:41:00,2714461.953
2024-04-16 02:42:00,2732095.214
2024-04-16 02:43:00,2731376.237
2024-04-16 02:44:00,2724463.564
2024-04-16 02:45:00,2727612.794
2024-04-16 02:46:00,2720799.784
2024-04-16 02:47:00,2722044.968
2024-04-16 02:48:00,2722348.441
2024-04-16 02:49:00,2714593.61
2024-04-16 02:50:00,2690411.342
2024-04-16 02:51:00,2673144.21
2024-04-16 02:52:00,2689287.243
2024-04-16 02:53:00,2722725.082
2024-04-16 02:54:00,2726043.079
2024-04-16 02:55:00,2718538.308
2024-04-16 02:56:00,2714530.729
2024-04-16 02:57:00,2718250.361
2024-04-16 02:58:00,2719259.512
2024-04-16 02:59:00,2713764.897
2024-04-16 03:00:00,2713073.702
