,Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Электросравочный стан в Буфер_fact,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_fact,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_fact,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Буфер.1 на Термообработку_fact,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Термообработка в Буфер.2_fact,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Буфер.2 на Испытания_fact,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода из Испытания на Склад готовой продукции_fact
,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
Номер заказа,,,,,,,,,,,,,,
135,4 days 01:10:00,4 days 01:11:00,0 days 00:40:20,0 days 00:41:00,1 days 03:31:50,1 days 03:30:00,0 days 02:04:40,0 days 02:04:00,14 days 21:57:50,14 days 21:59:00,-14 days +00:48:00,-14 days +00:48:00,1 days 00:06:10,1 days 00:07:00
136,1 days 16:50:20,1 days 16:50:00,0 days 00:30:30,0 days 00:31:00,0 days 07:30:50,0 days 07:30:00,0 days 02:20:00,0 days 02:20:00,0 days 10:01:20,0 days 10:02:00,0 days 12:01:10,0 days 12:01:00,0 days 05:00:30,0 days 05:00:00
137,34 days 19:12:00,37 days 09:31:00,0 days 05:34:04.800000,5 days 07:36:00,7 days 06:00:00,8 days 14:22:00,1 days 17:45:36,5 days 10:04:00,9 days 20:38:24,11 days 09:07:00,0 days 05:34:04.800000,1 days 00:52:00,4 days 15:21:36,4 days 18:18:00
138,0 days 14:24:00,0 days 12:38:00,0 days 00:05:45.600000,0 days 04:16:00,0 days 03:00:00,0 days 03:01:00,0 days 00:43:12,0 days 04:12:00,0 days 04:04:48,0 days 03:59:00,0 days 00:05:45.600000,0 days 01:08:00,0 days 01:55:12,0 days 02:00:00
139,16 days 19:12:00,16 days 14:50:00,0 days 02:41:16.800000,1 days 08:42:00,3 days 12:00:00,3 days 16:21:00,0 days 20:09:36,4 days 23:28:00,4 days 18:14:24,5 days 02:41:00,0 days 02:41:16.800000,2 days 14:07:00,2 days 05:45:36,2 days 08:01:00
140,12 days 21:36:00,14 days 22:12:00,0 days 02:03:50.400000,0 days 18:56:00,2 days 16:30:00,4 days 11:48:00,0 days 15:28:48,4 days 02:14:00,3 days 15:43:12,3 days 13:52:00,0 days 02:03:50.400000,0 days 02:59:00,1 days 17:16:48,1 days 19:05:00
141,11 days 16:48:00,12 days 19:21:00,0 days 01:52:19.200000,1 days 04:59:00,2 days 10:30:00,2 days 12:36:00,0 days 14:02:24,2 days 17:16:00,3 days 07:33:36,3 days 05:53:00,0 days 01:52:19.200000,0 days 03:42:00,1 days 13:26:24,2 days 20:55:00
142,7 days 19:12:00,11 days 02:22:00,0 days 01:14:52.800000,0 days 01:36:00,1 days 15:00:00,2 days 20:11:00,0 days 09:21:36,0 days 05:54:00,2 days 05:02:24,2 days 04:17:00,0 days 01:14:52.800000,0 days 01:58:00,1 days 00:57:36,1 days 02:04:00
143,26 days 02:24:00,30 days 14:01:00,0 days 04:10:33.600000,1 days 00:48:00,5 days 10:30:00,7 days 08:35:00,1 days 07:19:12,6 days 09:54:00,7 days 09:28:48,9 days 18:26:00,0 days 04:10:33.600000,1 days 05:10:00,3 days 11:31:12,3 days 15:00:00
144,22 days 12:00:00,19 days 04:33:00,0 days 03:36:00,9 days 16:41:00,4 days 16:30:00,4 days 17:10:00,1 days 03:00:00,5 days 23:05:00,6 days 09:00:00,6 days 06:07:00,0 days 03:36:00,0 days 05:51:00,3 days 00:00:00,3 days 03:08:00
145,23 days 09:36:00,19 days 21:02:00,0 days 03:44:38.400000,3 days 00:15:00,4 days 21:00:00,9 days 16:43:00,1 days 04:04:48,5 days 10:22:00,6 days 15:07:12,8 days 10:07:00,0 days 03:44:38.400000,2 days 09:52:00,3 days 02:52:48,4 days 18:32:00
146,7 days 12:00:00,9 days 04:32:00,0 days 01:12:00,0 days 01:15:00,1 days 13:30:00,1 days 13:50:00,0 days 09:00:00,0 days 07:10:00,2 days 03:00:00,2 days 03:05:00,0 days 01:12:00,0 days 01:25:00,1 days 00:00:00,2 days 05:20:00
147,7 days 04:48:00,8 days 22:49:00,0 days 01:09:07.200000,0 days 01:13:00,1 days 12:00:00,1 days 12:17:00,0 days 08:38:24,0 days 06:28:00,2 days 00:57:36,2 days 00:53:00,0 days 01:09:07.200000,0 days 01:21:00,0 days 23:02:24,1 days 21:31:00
148,14 days 09:36:00,16 days 12:28:00,0 days 02:18:14.400000,0 days 02:38:00,3 days 00:00:00,3 days 00:21:00,0 days 17:16:48,0 days 13:44:00,4 days 01:55:12,4 days 00:03:00,0 days 02:18:14.400000,0 days 04:06:00,1 days 22:04:48,2 days 00:02:00
149,21 days 07:12:00,20 days 15:53:00,0 days 03:24:28.800000,0 days 04:00:00,4 days 10:30:00,4 days 10:50:00,1 days 01:33:36,1 days 08:46:00,6 days 00:50:24,5 days 22:15:00,0 days 03:24:28.800000,0 days 15:21:00,2 days 20:09:36,4 days 18:24:00
