№,Состав рабочего времени,Фактические значения,,Плановые значения,,"Отклонение, дни"
,,"Значения, дни.","Структура, %","Значения, дни.","Структура, %",
I,Электросварочный стан - Буфер,6927,46%,4705,59%,2222
II,Буфер - Кромкообрабатывающие станки,1241,8%,42,1%,1199
III,Кромкообрабатывающие станки - Буфер.1,1714,11%,993,12%,721
IV,Буфер.1 - Термообработка,1461,10%,260,3%,1201
V,Термообработка - Буфер.2,2018,13%,1345,17%,673
VI,Буфер.2 - Испытания,524,4%,31,0%,493
VII,Испытания - Склад готовой продукции,1070,7%,637,8%,433
,Общее время,14955,100%,8013,100%,6942
,,,,,,
,,,,,,
,"Максимально возможное повышение производительности при устранении всех потерь и нерациональных затрат рабочего времени, %",,,,,
,"46,4183",,,,,
